COMMENT,kmp_n_113_min_2_max_226_run_ps
SORT_BY,113
226,113
225,113
224,113
223,113
222,113
221,113
220,113
219,113
218,113
217,113
216,113
215,113
214,113
213,113
212,113
211,113
210,113
209,113
208,113
207,113
206,113
205,113
204,113
203,113
202,113
201,113
200,113
199,113
198,113
197,113
196,113
195,113
194,113
193,113
192,113
191,113
190,113
189,113
188,113
187,113
186,113
185,113
184,113
183,113
182,113
181,113
180,113
179,113
178,113
177,113
176,113
175,113
174,113
173,113
172,113
171,113
170,113
169,113
168,113
167,113
166,113
165,113
164,113
163,113
162,113
161,113
160,113
159,113
158,113
157,113
156,113
155,113
154,113
153,113
152,113
151,113
150,113
149,113
148,113
147,113
146,113
145,113
144,113
143,113
142,113
141,113
140,113
139,113
138,113
137,113
136,113
135,113
134,113
133,113
132,113
131,113
130,113
129,113
128,113
127,113
126,113
125,113
124,113
123,113
122,113
121,113
120,113
119,113
118,113
117,113
116,113
115,113
114,113
113,113
112,113
111,114
110,115
109,116
108,117
107,118
106,119
105,120
104,121
103,122
102,123
101,124
100,125
99,126
98,127
97,128
96,129
95,130
94,131
93,132
92,133
91,134
90,135
89,136
88,137
87,138
86,139
85,140
84,141
83,142
82,143
81,144
80,145
79,146
78,147
77,148
76,149
75,150
74,151
73,152
72,153
71,154
70,155
69,156
68,157
67,158
66,159
65,160
64,161
63,162
62,163
61,164
60,165
59,166
58,167
57,168
56,169
55,172
54,175
53,178
52,181
51,184
50,187
49,190
48,193
47,196
46,199
45,202
44,205
43,208
42,211
41,214
40,217
39,220
38,223
37,227
36,233
35,239
34,245
33,251
32,257
31,263
30,269
29,275
28,281
27,291
26,301
25,311
24,321
23,331
22,343
21,358
20,373
19,388
18,407
17,428
16,449
15,477
14,505
13,541
12,581
11,628
10,685
9,755
8,841
7,953
6,1103
5,1312
4,1625
3,2148
2,3193
1,6329
