COMMENT,kmp_n_60_min_2_max_120_run_ps
SORT_BY,60
120,60
119,60
118,60
117,60
116,60
115,60
114,60
113,60
112,60
111,60
110,60
109,60
108,60
107,60
106,60
105,60
104,60
103,60
102,60
101,60
100,60
99,60
98,60
97,60
96,60
95,60
94,60
93,60
92,60
91,60
90,60
89,60
88,60
87,60
86,60
85,60
84,60
83,60
82,60
81,60
80,60
79,60
78,60
77,60
76,60
75,60
74,60
73,60
72,60
71,60
70,60
69,60
68,60
67,60
66,60
65,60
64,60
63,60
62,60
61,60
60,60
59,60
58,61
57,62
56,63
55,64
54,65
53,66
52,67
51,68
50,69
49,70
48,71
47,72
46,73
45,74
44,75
43,76
42,77
41,78
40,79
39,80
38,81
37,82
36,83
35,84
34,85
33,86
32,87
31,88
30,89
29,91
28,94
27,97
26,100
25,103
24,106
23,109
22,112
21,115
20,118
19,123
18,129
17,135
16,141
15,147
14,156
13,166
12,176
11,190
10,205
9,225
8,249
7,280
6,321
5,379
4,466
3,611
2,901
1,1771
