COMMENT,kmp_n_111_min_2_max_222_run_ps
SORT_BY,111
222,111
221,111
220,111
219,111
218,111
217,111
216,111
215,111
214,111
213,111
212,111
211,111
210,111
209,111
208,111
207,111
206,111
205,111
204,111
203,111
202,111
201,111
200,111
199,111
198,111
197,111
196,111
195,111
194,111
193,111
192,111
191,111
190,111
189,111
188,111
187,111
186,111
185,111
184,111
183,111
182,111
181,111
180,111
179,111
178,111
177,111
176,111
175,111
174,111
173,111
172,111
171,111
170,111
169,111
168,111
167,111
166,111
165,111
164,111
163,111
162,111
161,111
160,111
159,111
158,111
157,111
156,111
155,111
154,111
153,111
152,111
151,111
150,111
149,111
148,111
147,111
146,111
145,111
144,111
143,111
142,111
141,111
140,111
139,111
138,111
137,111
136,111
135,111
134,111
133,111
132,111
131,111
130,111
129,111
128,111
127,111
126,111
125,111
124,111
123,111
122,111
121,111
120,111
119,111
118,111
117,111
116,111
115,111
114,111
113,111
112,111
111,111
110,111
109,112
108,113
107,114
106,115
105,116
104,117
103,118
102,119
101,120
100,121
99,122
98,123
97,124
96,125
95,126
94,127
93,128
92,129
91,130
90,131
89,132
88,133
87,134
86,135
85,136
84,137
83,138
82,139
81,140
80,141
79,142
78,143
77,144
76,145
75,146
74,147
73,148
72,149
71,150
70,151
69,152
68,153
67,154
66,155
65,156
64,157
63,158
62,159
61,160
60,161
59,162
58,163
57,164
56,165
55,166
54,169
53,172
52,175
51,178
50,181
49,184
48,187
47,190
46,193
45,196
44,199
43,202
42,205
41,208
40,211
39,214
38,217
37,220
36,225
35,231
34,237
33,243
32,249
31,255
30,261
29,267
28,273
27,281
26,291
25,301
24,311
23,321
22,331
21,346
20,361
19,376
18,393
17,414
16,435
15,461
14,489
13,523
12,561
11,606
10,661
9,729
8,813
7,921
6,1065
5,1266
4,1569
3,2073
2,3081
1,6106
