COMMENT,kmp_n_76_min_2_max_152_run_ps
SORT_BY,76
152,76
151,76
150,76
149,76
148,76
147,76
146,76
145,76
144,76
143,76
142,76
141,76
140,76
139,76
138,76
137,76
136,76
135,76
134,76
133,76
132,76
131,76
130,76
129,76
128,76
127,76
126,76
125,76
124,76
123,76
122,76
121,76
120,76
119,76
118,76
117,76
116,76
115,76
114,76
113,76
112,76
111,76
110,76
109,76
108,76
107,76
106,76
105,76
104,76
103,76
102,76
101,76
100,76
99,76
98,76
97,76
96,76
95,76
94,76
93,76
92,76
91,76
90,76
89,76
88,76
87,76
86,76
85,76
84,76
83,76
82,76
81,76
80,76
79,76
78,76
77,76
76,76
75,76
74,77
73,78
72,79
71,80
70,81
69,82
68,83
67,84
66,85
65,86
64,87
63,88
62,89
61,90
60,91
59,92
58,93
57,94
56,95
55,96
54,97
53,98
52,99
51,100
50,101
49,102
48,103
47,104
46,105
45,106
44,107
43,108
42,109
41,110
40,111
39,112
38,113
37,115
36,118
35,121
34,124
33,127
32,130
31,133
30,136
29,139
28,142
27,145
26,148
25,151
24,157
23,163
22,169
21,175
20,181
19,187
18,196
17,206
16,216
15,226
14,241
13,256
12,274
11,295
10,321
9,352
8,391
7,441
6,508
5,601
4,742
3,976
2,1445
1,2851
