COMMENT,kmp_n_24_min_2_max_48_run_ps
SORT_BY,24
48,24
47,24
46,24
45,24
44,24
43,24
42,24
41,24
40,24
39,24
38,24
37,24
36,24
35,24
34,24
33,24
32,24
31,24
30,24
29,24
28,24
27,24
26,24
25,24
24,24
23,24
22,25
21,26
20,27
19,28
18,29
17,30
16,31
15,32
14,33
13,34
12,35
11,37
10,40
9,43
8,46
7,51
6,57
5,66
4,79
3,101
2,145
1,277
