COMMENT,kmp_n_106_min_2_max_212_run_ps
SORT_BY,106
212,106
211,106
210,106
209,106
208,106
207,106
206,106
205,106
204,106
203,106
202,106
201,106
200,106
199,106
198,106
197,106
196,106
195,106
194,106
193,106
192,106
191,106
190,106
189,106
188,106
187,106
186,106
185,106
184,106
183,106
182,106
181,106
180,106
179,106
178,106
177,106
176,106
175,106
174,106
173,106
172,106
171,106
170,106
169,106
168,106
167,106
166,106
165,106
164,106
163,106
162,106
161,106
160,106
159,106
158,106
157,106
156,106
155,106
154,106
153,106
152,106
151,106
150,106
149,106
148,106
147,106
146,106
145,106
144,106
143,106
142,106
141,106
140,106
139,106
138,106
137,106
136,106
135,106
134,106
133,106
132,106
131,106
130,106
129,106
128,106
127,106
126,106
125,106
124,106
123,106
122,106
121,106
120,106
119,106
118,106
117,106
116,106
115,106
114,106
113,106
112,106
111,106
110,106
109,106
108,106
107,106
106,106
105,106
104,107
103,108
102,109
101,110
100,111
99,112
98,113
97,114
96,115
95,116
94,117
93,118
92,119
91,120
90,121
89,122
88,123
87,124
86,125
85,126
84,127
83,128
82,129
81,130
80,131
79,132
78,133
77,134
76,135
75,136
74,137
73,138
72,139
71,140
70,141
69,142
68,143
67,144
66,145
65,146
64,147
63,148
62,149
61,150
60,151
59,152
58,153
57,154
56,155
55,156
54,157
53,158
52,160
51,163
50,166
49,169
48,172
47,175
46,178
45,181
44,184
43,187
42,190
41,193
40,196
39,199
38,202
37,205
36,208
35,211
34,217
33,223
32,229
31,235
30,241
29,247
28,253
27,259
26,266
25,276
24,286
23,296
22,306
21,316
20,331
19,346
18,361
17,379
16,400
15,421
14,449
13,478
12,514
11,556
10,606
9,667
8,743
7,841
6,973
5,1156
4,1432
3,1891
2,2810
1,5566
