COMMENT,kmp_n_153_min_2_max_306_run_ps
SORT_BY,153
306,153
305,153
304,153
303,153
302,153
301,153
300,153
299,153
298,153
297,153
296,153
295,153
294,153
293,153
292,153
291,153
290,153
289,153
288,153
287,153
286,153
285,153
284,153
283,153
282,153
281,153
280,153
279,153
278,153
277,153
276,153
275,153
274,153
273,153
272,153
271,153
270,153
269,153
268,153
267,153
266,153
265,153
264,153
263,153
262,153
261,153
260,153
259,153
258,153
257,153
256,153
255,153
254,153
253,153
252,153
251,153
250,153
249,153
248,153
247,153
246,153
245,153
244,153
243,153
242,153
241,153
240,153
239,153
238,153
237,153
236,153
235,153
234,153
233,153
232,153
231,153
230,153
229,153
228,153
227,153
226,153
225,153
224,153
223,153
222,153
221,153
220,153
219,153
218,153
217,153
216,153
215,153
214,153
213,153
212,153
211,153
210,153
209,153
208,153
207,153
206,153
205,153
204,153
203,153
202,153
201,153
200,153
199,153
198,153
197,153
196,153
195,153
194,153
193,153
192,153
191,153
190,153
189,153
188,153
187,153
186,153
185,153
184,153
183,153
182,153
181,153
180,153
179,153
178,153
177,153
176,153
175,153
174,153
173,153
172,153
171,153
170,153
169,153
168,153
167,153
166,153
165,153
164,153
163,153
162,153
161,153
160,153
159,153
158,153
157,153
156,153
155,153
154,153
153,153
152,153
151,154
150,155
149,156
148,157
147,158
146,159
145,160
144,161
143,162
142,163
141,164
140,165
139,166
138,167
137,168
136,169
135,170
134,171
133,172
132,173
131,174
130,175
129,176
128,177
127,178
126,179
125,180
124,181
123,182
122,183
121,184
120,185
119,186
118,187
117,188
116,189
115,190
114,191
113,192
112,193
111,194
110,195
109,196
108,197
107,198
106,199
105,200
104,201
103,202
102,203
101,204
100,205
99,206
98,207
97,208
96,209
95,210
94,211
93,212
92,213
91,214
90,215
89,216
88,217
87,218
86,219
85,220
84,221
83,222
82,223
81,224
80,225
79,226
78,227
77,228
76,229
75,232
74,235
73,238
72,241
71,244
70,247
69,250
68,253
67,256
66,259
65,262
64,265
63,268
62,271
61,274
60,277
59,280
58,283
57,286
56,289
55,292
54,295
53,298
52,301
51,304
50,309
49,315
48,321
47,327
46,333
45,339
44,345
43,351
42,357
41,363
40,369
39,375
38,381
37,391
36,401
35,411
34,421
33,431
32,441
31,451
30,463
29,478
28,493
27,508
26,523
25,540
24,561
23,582
22,603
21,629
20,657
19,685
18,721
17,757
16,801
15,848
14,903
13,967
12,1041
11,1128
10,1233
9,1361
8,1521
7,1728
6,2003
5,2388
4,2965
3,3928
2,5853
1,11629
