COMMENT,kmp_n_135_min_2_max_270_run_ps
SORT_BY,135
270,135
269,135
268,135
267,135
266,135
265,135
264,135
263,135
262,135
261,135
260,135
259,135
258,135
257,135
256,135
255,135
254,135
253,135
252,135
251,135
250,135
249,135
248,135
247,135
246,135
245,135
244,135
243,135
242,135
241,135
240,135
239,135
238,135
237,135
236,135
235,135
234,135
233,135
232,135
231,135
230,135
229,135
228,135
227,135
226,135
225,135
224,135
223,135
222,135
221,135
220,135
219,135
218,135
217,135
216,135
215,135
214,135
213,135
212,135
211,135
210,135
209,135
208,135
207,135
206,135
205,135
204,135
203,135
202,135
201,135
200,135
199,135
198,135
197,135
196,135
195,135
194,135
193,135
192,135
191,135
190,135
189,135
188,135
187,135
186,135
185,135
184,135
183,135
182,135
181,135
180,135
179,135
178,135
177,135
176,135
175,135
174,135
173,135
172,135
171,135
170,135
169,135
168,135
167,135
166,135
165,135
164,135
163,135
162,135
161,135
160,135
159,135
158,135
157,135
156,135
155,135
154,135
153,135
152,135
151,135
150,135
149,135
148,135
147,135
146,135
145,135
144,135
143,135
142,135
141,135
140,135
139,135
138,135
137,135
136,135
135,135
134,135
133,136
132,137
131,138
130,139
129,140
128,141
127,142
126,143
125,144
124,145
123,146
122,147
121,148
120,149
119,150
118,151
117,152
116,153
115,154
114,155
113,156
112,157
111,158
110,159
109,160
108,161
107,162
106,163
105,164
104,165
103,166
102,167
101,168
100,169
99,170
98,171
97,172
96,173
95,174
94,175
93,176
92,177
91,178
90,179
89,180
88,181
87,182
86,183
85,184
84,185
83,186
82,187
81,188
80,189
79,190
78,191
77,192
76,193
75,194
74,195
73,196
72,197
71,198
70,199
69,200
68,201
67,202
66,205
65,208
64,211
63,214
62,217
61,220
60,223
59,226
58,229
57,232
56,235
55,238
54,241
53,244
52,247
51,250
50,253
49,256
48,259
47,262
46,265
45,268
44,273
43,279
42,285
41,291
40,297
39,303
38,309
37,315
36,321
35,327
34,333
33,341
32,351
31,361
30,371
29,381
28,391
27,401
26,415
25,430
24,445
23,460
22,477
21,498
20,519
19,541
18,569
17,597
16,631
15,667
14,711
13,760
12,817
11,885
10,967
9,1066
8,1191
7,1351
6,1565
5,1864
4,2313
3,3061
2,4557
1,9046
