COMMENT,kmp_n_150_min_2_max_300_run_ps
SORT_BY,150
300,150
299,150
298,150
297,150
296,150
295,150
294,150
293,150
292,150
291,150
290,150
289,150
288,150
287,150
286,150
285,150
284,150
283,150
282,150
281,150
280,150
279,150
278,150
277,150
276,150
275,150
274,150
273,150
272,150
271,150
270,150
269,150
268,150
267,150
266,150
265,150
264,150
263,150
262,150
261,150
260,150
259,150
258,150
257,150
256,150
255,150
254,150
253,150
252,150
251,150
250,150
249,150
248,150
247,150
246,150
245,150
244,150
243,150
242,150
241,150
240,150
239,150
238,150
237,150
236,150
235,150
234,150
233,150
232,150
231,150
230,150
229,150
228,150
227,150
226,150
225,150
224,150
223,150
222,150
221,150
220,150
219,150
218,150
217,150
216,150
215,150
214,150
213,150
212,150
211,150
210,150
209,150
208,150
207,150
206,150
205,150
204,150
203,150
202,150
201,150
200,150
199,150
198,150
197,150
196,150
195,150
194,150
193,150
192,150
191,150
190,150
189,150
188,150
187,150
186,150
185,150
184,150
183,150
182,150
181,150
180,150
179,150
178,150
177,150
176,150
175,150
174,150
173,150
172,150
171,150
170,150
169,150
168,150
167,150
166,150
165,150
164,150
163,150
162,150
161,150
160,150
159,150
158,150
157,150
156,150
155,150
154,150
153,150
152,150
151,150
150,150
149,150
148,151
147,152
146,153
145,154
144,155
143,156
142,157
141,158
140,159
139,160
138,161
137,162
136,163
135,164
134,165
133,166
132,167
131,168
130,169
129,170
128,171
127,172
126,173
125,174
124,175
123,176
122,177
121,178
120,179
119,180
118,181
117,182
116,183
115,184
114,185
113,186
112,187
111,188
110,189
109,190
108,191
107,192
106,193
105,194
104,195
103,196
102,197
101,198
100,199
99,200
98,201
97,202
96,203
95,204
94,205
93,206
92,207
91,208
90,209
89,210
88,211
87,212
86,213
85,214
84,215
83,216
82,217
81,218
80,219
79,220
78,221
77,222
76,223
75,224
74,226
73,229
72,232
71,235
70,238
69,241
68,244
67,247
66,250
65,253
64,256
63,259
62,262
61,265
60,268
59,271
58,274
57,277
56,280
55,283
54,286
53,289
52,292
51,295
50,298
49,303
48,309
47,315
46,321
45,327
44,333
43,339
42,345
41,351
40,357
39,363
38,369
37,376
36,386
35,396
34,406
33,416
32,426
31,436
30,446
29,460
28,475
27,490
26,505
25,520
24,540
23,561
22,582
21,605
20,633
19,661
18,694
17,730
16,771
15,816
14,870
13,931
12,1002
11,1086
10,1186
9,1310
8,1464
7,1662
6,1926
5,2296
4,2851
3,3776
2,5626
1,11176
