COMMENT,kmp_n_108_min_2_max_216_run_ps
SORT_BY,108
216,108
215,108
214,108
213,108
212,108
211,108
210,108
209,108
208,108
207,108
206,108
205,108
204,108
203,108
202,108
201,108
200,108
199,108
198,108
197,108
196,108
195,108
194,108
193,108
192,108
191,108
190,108
189,108
188,108
187,108
186,108
185,108
184,108
183,108
182,108
181,108
180,108
179,108
178,108
177,108
176,108
175,108
174,108
173,108
172,108
171,108
170,108
169,108
168,108
167,108
166,108
165,108
164,108
163,108
162,108
161,108
160,108
159,108
158,108
157,108
156,108
155,108
154,108
153,108
152,108
151,108
150,108
149,108
148,108
147,108
146,108
145,108
144,108
143,108
142,108
141,108
140,108
139,108
138,108
137,108
136,108
135,108
134,108
133,108
132,108
131,108
130,108
129,108
128,108
127,108
126,108
125,108
124,108
123,108
122,108
121,108
120,108
119,108
118,108
117,108
116,108
115,108
114,108
113,108
112,108
111,108
110,108
109,108
108,108
107,108
106,109
105,110
104,111
103,112
102,113
101,114
100,115
99,116
98,117
97,118
96,119
95,120
94,121
93,122
92,123
91,124
90,125
89,126
88,127
87,128
86,129
85,130
84,131
83,132
82,133
81,134
80,135
79,136
78,137
77,138
76,139
75,140
74,141
73,142
72,143
71,144
70,145
69,146
68,147
67,148
66,149
65,150
64,151
63,152
62,153
61,154
60,155
59,156
58,157
57,158
56,159
55,160
54,161
53,163
52,166
51,169
50,172
49,175
48,178
47,181
46,184
45,187
44,190
43,193
42,196
41,199
40,202
39,205
38,208
37,211
36,214
35,219
34,225
33,231
32,237
31,243
30,249
29,255
28,261
27,267
26,276
25,286
24,296
23,306
22,316
21,328
20,343
19,358
18,373
17,393
16,414
15,437
14,465
13,496
12,532
11,576
10,628
9,691
8,771
7,873
6,1009
5,1200
4,1486
3,1963
2,2917
1,5779
