COMMENT,kmp_n_137_min_2_max_274_run_ps
SORT_BY,137
274,137
273,137
272,137
271,137
270,137
269,137
268,137
267,137
266,137
265,137
264,137
263,137
262,137
261,137
260,137
259,137
258,137
257,137
256,137
255,137
254,137
253,137
252,137
251,137
250,137
249,137
248,137
247,137
246,137
245,137
244,137
243,137
242,137
241,137
240,137
239,137
238,137
237,137
236,137
235,137
234,137
233,137
232,137
231,137
230,137
229,137
228,137
227,137
226,137
225,137
224,137
223,137
222,137
221,137
220,137
219,137
218,137
217,137
216,137
215,137
214,137
213,137
212,137
211,137
210,137
209,137
208,137
207,137
206,137
205,137
204,137
203,137
202,137
201,137
200,137
199,137
198,137
197,137
196,137
195,137
194,137
193,137
192,137
191,137
190,137
189,137
188,137
187,137
186,137
185,137
184,137
183,137
182,137
181,137
180,137
179,137
178,137
177,137
176,137
175,137
174,137
173,137
172,137
171,137
170,137
169,137
168,137
167,137
166,137
165,137
164,137
163,137
162,137
161,137
160,137
159,137
158,137
157,137
156,137
155,137
154,137
153,137
152,137
151,137
150,137
149,137
148,137
147,137
146,137
145,137
144,137
143,137
142,137
141,137
140,137
139,137
138,137
137,137
136,137
135,138
134,139
133,140
132,141
131,142
130,143
129,144
128,145
127,146
126,147
125,148
124,149
123,150
122,151
121,152
120,153
119,154
118,155
117,156
116,157
115,158
114,159
113,160
112,161
111,162
110,163
109,164
108,165
107,166
106,167
105,168
104,169
103,170
102,171
101,172
100,173
99,174
98,175
97,176
96,177
95,178
94,179
93,180
92,181
91,182
90,183
89,184
88,185
87,186
86,187
85,188
84,189
83,190
82,191
81,192
80,193
79,194
78,195
77,196
76,197
75,198
74,199
73,200
72,201
71,202
70,203
69,204
68,205
67,208
66,211
65,214
64,217
63,220
62,223
61,226
60,229
59,232
58,235
57,238
56,241
55,244
54,247
53,250
52,253
51,256
50,259
49,262
48,265
47,268
46,271
45,275
44,281
43,287
42,293
41,299
40,305
39,311
38,317
37,323
36,329
35,335
34,341
33,351
32,361
31,371
30,381
29,391
28,401
27,412
26,427
25,442
24,457
23,472
22,491
21,512
20,533
19,557
18,585
17,613
16,649
15,686
14,731
13,782
12,841
11,911
10,995
9,1097
8,1225
7,1391
6,1611
5,1919
4,2381
3,3152
2,4693
1,9317
