COMMENT,kmp_n_145_min_2_max_290_run_ps
SORT_BY,145
290,145
289,145
288,145
287,145
286,145
285,145
284,145
283,145
282,145
281,145
280,145
279,145
278,145
277,145
276,145
275,145
274,145
273,145
272,145
271,145
270,145
269,145
268,145
267,145
266,145
265,145
264,145
263,145
262,145
261,145
260,145
259,145
258,145
257,145
256,145
255,145
254,145
253,145
252,145
251,145
250,145
249,145
248,145
247,145
246,145
245,145
244,145
243,145
242,145
241,145
240,145
239,145
238,145
237,145
236,145
235,145
234,145
233,145
232,145
231,145
230,145
229,145
228,145
227,145
226,145
225,145
224,145
223,145
222,145
221,145
220,145
219,145
218,145
217,145
216,145
215,145
214,145
213,145
212,145
211,145
210,145
209,145
208,145
207,145
206,145
205,145
204,145
203,145
202,145
201,145
200,145
199,145
198,145
197,145
196,145
195,145
194,145
193,145
192,145
191,145
190,145
189,145
188,145
187,145
186,145
185,145
184,145
183,145
182,145
181,145
180,145
179,145
178,145
177,145
176,145
175,145
174,145
173,145
172,145
171,145
170,145
169,145
168,145
167,145
166,145
165,145
164,145
163,145
162,145
161,145
160,145
159,145
158,145
157,145
156,145
155,145
154,145
153,145
152,145
151,145
150,145
149,145
148,145
147,145
146,145
145,145
144,145
143,146
142,147
141,148
140,149
139,150
138,151
137,152
136,153
135,154
134,155
133,156
132,157
131,158
130,159
129,160
128,161
127,162
126,163
125,164
124,165
123,166
122,167
121,168
120,169
119,170
118,171
117,172
116,173
115,174
114,175
113,176
112,177
111,178
110,179
109,180
108,181
107,182
106,183
105,184
104,185
103,186
102,187
101,188
100,189
99,190
98,191
97,192
96,193
95,194
94,195
93,196
92,197
91,198
90,199
89,200
88,201
87,202
86,203
85,204
84,205
83,206
82,207
81,208
80,209
79,210
78,211
77,212
76,213
75,214
74,215
73,216
72,217
71,220
70,223
69,226
68,229
67,232
66,235
65,238
64,241
63,244
62,247
61,250
60,253
59,256
58,259
57,262
56,265
55,268
54,271
53,274
52,277
51,280
50,283
49,286
48,289
47,295
46,301
45,307
44,313
43,319
42,325
41,331
40,337
39,343
38,349
37,355
36,361
35,371
34,381
33,391
32,401
31,411
30,421
29,431
28,445
27,460
26,475
25,490
24,505
23,526
22,547
21,568
20,593
19,621
18,649
17,685
16,721
15,766
14,815
13,871
12,937
11,1016
10,1111
9,1225
8,1369
7,1555
6,1801
5,2147
4,2665
3,3529
2,5257
1,10441
