COMMENT,kmp_n_16_min_2_max_32_run_ps
SORT_BY,16
32,16
31,16
30,16
29,16
28,16
27,16
26,16
25,16
24,16
23,16
22,16
21,16
20,16
19,16
18,16
17,16
16,16
15,16
14,17
13,18
12,19
11,20
10,21
9,22
8,23
7,25
6,28
5,31
4,37
3,46
2,65
1,121
