COMMENT,kmp_n_119_min_2_max_238_run_ps
SORT_BY,119
238,119
237,119
236,119
235,119
234,119
233,119
232,119
231,119
230,119
229,119
228,119
227,119
226,119
225,119
224,119
223,119
222,119
221,119
220,119
219,119
218,119
217,119
216,119
215,119
214,119
213,119
212,119
211,119
210,119
209,119
208,119
207,119
206,119
205,119
204,119
203,119
202,119
201,119
200,119
199,119
198,119
197,119
196,119
195,119
194,119
193,119
192,119
191,119
190,119
189,119
188,119
187,119
186,119
185,119
184,119
183,119
182,119
181,119
180,119
179,119
178,119
177,119
176,119
175,119
174,119
173,119
172,119
171,119
170,119
169,119
168,119
167,119
166,119
165,119
164,119
163,119
162,119
161,119
160,119
159,119
158,119
157,119
156,119
155,119
154,119
153,119
152,119
151,119
150,119
149,119
148,119
147,119
146,119
145,119
144,119
143,119
142,119
141,119
140,119
139,119
138,119
137,119
136,119
135,119
134,119
133,119
132,119
131,119
130,119
129,119
128,119
127,119
126,119
125,119
124,119
123,119
122,119
121,119
120,119
119,119
118,119
117,120
116,121
115,122
114,123
113,124
112,125
111,126
110,127
109,128
108,129
107,130
106,131
105,132
104,133
103,134
102,135
101,136
100,137
99,138
98,139
97,140
96,141
95,142
94,143
93,144
92,145
91,146
90,147
89,148
88,149
87,150
86,151
85,152
84,153
83,154
82,155
81,156
80,157
79,158
78,159
77,160
76,161
75,162
74,163
73,164
72,165
71,166
70,167
69,168
68,169
67,170
66,171
65,172
64,173
63,174
62,175
61,176
60,177
59,178
58,181
57,184
56,187
55,190
54,193
53,196
52,199
51,202
50,205
49,208
48,211
47,214
46,217
45,220
44,223
43,226
42,229
41,232
40,235
39,239
38,245
37,251
36,257
35,263
34,269
33,275
32,281
31,287
30,293
29,301
28,311
27,321
26,331
25,341
24,351
23,364
22,379
21,394
20,409
19,428
18,449
17,470
16,497
15,525
14,559
13,596
12,641
11,694
10,757
9,834
8,931
7,1055
6,1221
5,1453
4,1801
3,2381
2,3541
1,7022
