COMMENT,kmp_n_85_min_2_max_170_run_ps
SORT_BY,85
170,85
169,85
168,85
167,85
166,85
165,85
164,85
163,85
162,85
161,85
160,85
159,85
158,85
157,85
156,85
155,85
154,85
153,85
152,85
151,85
150,85
149,85
148,85
147,85
146,85
145,85
144,85
143,85
142,85
141,85
140,85
139,85
138,85
137,85
136,85
135,85
134,85
133,85
132,85
131,85
130,85
129,85
128,85
127,85
126,85
125,85
124,85
123,85
122,85
121,85
120,85
119,85
118,85
117,85
116,85
115,85
114,85
113,85
112,85
111,85
110,85
109,85
108,85
107,85
106,85
105,85
104,85
103,85
102,85
101,85
100,85
99,85
98,85
97,85
96,85
95,85
94,85
93,85
92,85
91,85
90,85
89,85
88,85
87,85
86,85
85,85
84,85
83,86
82,87
81,88
80,89
79,90
78,91
77,92
76,93
75,94
74,95
73,96
72,97
71,98
70,99
69,100
68,101
67,102
66,103
65,104
64,105
63,106
62,107
61,108
60,109
59,110
58,111
57,112
56,113
55,114
54,115
53,116
52,117
51,118
50,119
49,120
48,121
47,122
46,123
45,124
44,125
43,126
42,127
41,130
40,133
39,136
38,139
37,142
36,145
35,148
34,151
33,154
32,157
31,160
30,163
29,166
28,169
27,175
26,181
25,187
24,193
23,199
22,205
21,211
20,221
19,231
18,241
17,251
16,265
15,280
14,295
13,316
12,337
11,365
10,397
9,436
8,485
7,547
6,631
5,749
4,925
3,1219
2,1807
1,3571
