COMMENT,kmp_n_87_min_2_max_174_run_ps
SORT_BY,87
174,87
173,87
172,87
171,87
170,87
169,87
168,87
167,87
166,87
165,87
164,87
163,87
162,87
161,87
160,87
159,87
158,87
157,87
156,87
155,87
154,87
153,87
152,87
151,87
150,87
149,87
148,87
147,87
146,87
145,87
144,87
143,87
142,87
141,87
140,87
139,87
138,87
137,87
136,87
135,87
134,87
133,87
132,87
131,87
130,87
129,87
128,87
127,87
126,87
125,87
124,87
123,87
122,87
121,87
120,87
119,87
118,87
117,87
116,87
115,87
114,87
113,87
112,87
111,87
110,87
109,87
108,87
107,87
106,87
105,87
104,87
103,87
102,87
101,87
100,87
99,87
98,87
97,87
96,87
95,87
94,87
93,87
92,87
91,87
90,87
89,87
88,87
87,87
86,87
85,88
84,89
83,90
82,91
81,92
80,93
79,94
78,95
77,96
76,97
75,98
74,99
73,100
72,101
71,102
70,103
69,104
68,105
67,106
66,107
65,108
64,109
63,110
62,111
61,112
60,113
59,114
58,115
57,116
56,117
55,118
54,119
53,120
52,121
51,122
50,123
49,124
48,125
47,126
46,127
45,128
44,129
43,130
42,133
41,136
40,139
39,142
38,145
37,148
36,151
35,154
34,157
33,160
32,163
31,166
30,169
29,172
28,177
27,183
26,189
25,195
24,201
23,207
22,213
21,221
20,231
19,241
18,251
17,262
16,277
15,292
14,309
13,330
12,353
11,381
10,415
9,456
8,507
7,573
6,661
5,784
4,969
3,1277
2,1893
1,3742
