COMMENT,kmp_n_132_min_2_max_264_run_ps
SORT_BY,132
264,132
263,132
262,132
261,132
260,132
259,132
258,132
257,132
256,132
255,132
254,132
253,132
252,132
251,132
250,132
249,132
248,132
247,132
246,132
245,132
244,132
243,132
242,132
241,132
240,132
239,132
238,132
237,132
236,132
235,132
234,132
233,132
232,132
231,132
230,132
229,132
228,132
227,132
226,132
225,132
224,132
223,132
222,132
221,132
220,132
219,132
218,132
217,132
216,132
215,132
214,132
213,132
212,132
211,132
210,132
209,132
208,132
207,132
206,132
205,132
204,132
203,132
202,132
201,132
200,132
199,132
198,132
197,132
196,132
195,132
194,132
193,132
192,132
191,132
190,132
189,132
188,132
187,132
186,132
185,132
184,132
183,132
182,132
181,132
180,132
179,132
178,132
177,132
176,132
175,132
174,132
173,132
172,132
171,132
170,132
169,132
168,132
167,132
166,132
165,132
164,132
163,132
162,132
161,132
160,132
159,132
158,132
157,132
156,132
155,132
154,132
153,132
152,132
151,132
150,132
149,132
148,132
147,132
146,132
145,132
144,132
143,132
142,132
141,132
140,132
139,132
138,132
137,132
136,132
135,132
134,132
133,132
132,132
131,132
130,133
129,134
128,135
127,136
126,137
125,138
124,139
123,140
122,141
121,142
120,143
119,144
118,145
117,146
116,147
115,148
114,149
113,150
112,151
111,152
110,153
109,154
108,155
107,156
106,157
105,158
104,159
103,160
102,161
101,162
100,163
99,164
98,165
97,166
96,167
95,168
94,169
93,170
92,171
91,172
90,173
89,174
88,175
87,176
86,177
85,178
84,179
83,180
82,181
81,182
80,183
79,184
78,185
77,186
76,187
75,188
74,189
73,190
72,191
71,192
70,193
69,194
68,195
67,196
66,197
65,199
64,202
63,205
62,208
61,211
60,214
59,217
58,220
57,223
56,226
55,229
54,232
53,235
52,238
51,241
50,244
49,247
48,250
47,253
46,256
45,259
44,262
43,267
42,273
41,279
40,285
39,291
38,297
37,303
36,309
35,315
34,321
33,327
32,336
31,346
30,356
29,366
28,376
27,386
26,397
25,412
24,427
23,442
22,457
21,477
20,498
19,519
18,545
17,573
16,604
15,640
14,681
13,727
12,782
11,847
10,925
9,1021
8,1140
7,1293
6,1497
5,1783
4,2212
3,2927
2,4357
1,8647
