COMMENT,kmp_n_52_min_2_max_104_run_ps
SORT_BY,52
104,52
103,52
102,52
101,52
100,52
99,52
98,52
97,52
96,52
95,52
94,52
93,52
92,52
91,52
90,52
89,52
88,52
87,52
86,52
85,52
84,52
83,52
82,52
81,52
80,52
79,52
78,52
77,52
76,52
75,52
74,52
73,52
72,52
71,52
70,52
69,52
68,52
67,52
66,52
65,52
64,52
63,52
62,52
61,52
60,52
59,52
58,52
57,52
56,52
55,52
54,52
53,52
52,52
51,52
50,53
49,54
48,55
47,56
46,57
45,58
44,59
43,60
42,61
41,62
40,63
39,64
38,65
37,66
36,67
35,68
34,69
33,70
32,71
31,72
30,73
29,74
28,75
27,76
26,77
25,79
24,82
23,85
22,88
21,91
20,94
19,97
18,100
17,103
16,109
15,115
14,121
13,127
12,136
11,146
10,157
9,172
8,190
7,213
6,244
5,287
4,352
3,460
2,677
1,1327
