COMMENT,kmp_n_103_min_2_max_206_run_ps
SORT_BY,103
206,103
205,103
204,103
203,103
202,103
201,103
200,103
199,103
198,103
197,103
196,103
195,103
194,103
193,103
192,103
191,103
190,103
189,103
188,103
187,103
186,103
185,103
184,103
183,103
182,103
181,103
180,103
179,103
178,103
177,103
176,103
175,103
174,103
173,103
172,103
171,103
170,103
169,103
168,103
167,103
166,103
165,103
164,103
163,103
162,103
161,103
160,103
159,103
158,103
157,103
156,103
155,103
154,103
153,103
152,103
151,103
150,103
149,103
148,103
147,103
146,103
145,103
144,103
143,103
142,103
141,103
140,103
139,103
138,103
137,103
136,103
135,103
134,103
133,103
132,103
131,103
130,103
129,103
128,103
127,103
126,103
125,103
124,103
123,103
122,103
121,103
120,103
119,103
118,103
117,103
116,103
115,103
114,103
113,103
112,103
111,103
110,103
109,103
108,103
107,103
106,103
105,103
104,103
103,103
102,103
101,104
100,105
99,106
98,107
97,108
96,109
95,110
94,111
93,112
92,113
91,114
90,115
89,116
88,117
87,118
86,119
85,120
84,121
83,122
82,123
81,124
80,125
79,126
78,127
77,128
76,129
75,130
74,131
73,132
72,133
71,134
70,135
69,136
68,137
67,138
66,139
65,140
64,141
63,142
62,143
61,144
60,145
59,146
58,147
57,148
56,149
55,150
54,151
53,152
52,153
51,154
50,157
49,160
48,163
47,166
46,169
45,172
44,175
43,178
42,181
41,184
40,187
39,190
38,193
37,196
36,199
35,202
34,205
33,211
32,217
31,223
30,229
29,235
28,241
27,247
26,253
25,261
24,271
23,281
22,291
21,301
20,313
19,328
18,343
17,358
16,379
15,400
14,425
13,453
12,487
11,526
10,573
9,631
8,703
7,796
6,919
5,1093
4,1353
3,1786
2,2653
1,5254
