COMMENT,kmp_n_101_min_2_max_202_run_ps
SORT_BY,101
202,101
201,101
200,101
199,101
198,101
197,101
196,101
195,101
194,101
193,101
192,101
191,101
190,101
189,101
188,101
187,101
186,101
185,101
184,101
183,101
182,101
181,101
180,101
179,101
178,101
177,101
176,101
175,101
174,101
173,101
172,101
171,101
170,101
169,101
168,101
167,101
166,101
165,101
164,101
163,101
162,101
161,101
160,101
159,101
158,101
157,101
156,101
155,101
154,101
153,101
152,101
151,101
150,101
149,101
148,101
147,101
146,101
145,101
144,101
143,101
142,101
141,101
140,101
139,101
138,101
137,101
136,101
135,101
134,101
133,101
132,101
131,101
130,101
129,101
128,101
127,101
126,101
125,101
124,101
123,101
122,101
121,101
120,101
119,101
118,101
117,101
116,101
115,101
114,101
113,101
112,101
111,101
110,101
109,101
108,101
107,101
106,101
105,101
104,101
103,101
102,101
101,101
100,101
99,102
98,103
97,104
96,105
95,106
94,107
93,108
92,109
91,110
90,111
89,112
88,113
87,114
86,115
85,116
84,117
83,118
82,119
81,120
80,121
79,122
78,123
77,124
76,125
75,126
74,127
73,128
72,129
71,130
70,131
69,132
68,133
67,134
66,135
65,136
64,137
63,138
62,139
61,140
60,141
59,142
58,143
57,144
56,145
55,146
54,147
53,148
52,149
51,150
50,151
49,154
48,157
47,160
46,163
45,166
44,169
43,172
42,175
41,178
40,181
39,184
38,187
37,190
36,193
35,196
34,199
33,203
32,209
31,215
30,221
29,227
28,233
27,239
26,245
25,251
24,261
23,271
22,281
21,291
20,301
19,316
18,331
17,346
16,365
15,386
14,409
13,437
12,469
11,506
10,551
9,607
8,677
7,766
6,885
5,1051
4,1301
3,1718
2,2551
1,5051
