COMMENT,kmp_n_142_min_2_max_284_run_ps
SORT_BY,142
284,142
283,142
282,142
281,142
280,142
279,142
278,142
277,142
276,142
275,142
274,142
273,142
272,142
271,142
270,142
269,142
268,142
267,142
266,142
265,142
264,142
263,142
262,142
261,142
260,142
259,142
258,142
257,142
256,142
255,142
254,142
253,142
252,142
251,142
250,142
249,142
248,142
247,142
246,142
245,142
244,142
243,142
242,142
241,142
240,142
239,142
238,142
237,142
236,142
235,142
234,142
233,142
232,142
231,142
230,142
229,142
228,142
227,142
226,142
225,142
224,142
223,142
222,142
221,142
220,142
219,142
218,142
217,142
216,142
215,142
214,142
213,142
212,142
211,142
210,142
209,142
208,142
207,142
206,142
205,142
204,142
203,142
202,142
201,142
200,142
199,142
198,142
197,142
196,142
195,142
194,142
193,142
192,142
191,142
190,142
189,142
188,142
187,142
186,142
185,142
184,142
183,142
182,142
181,142
180,142
179,142
178,142
177,142
176,142
175,142
174,142
173,142
172,142
171,142
170,142
169,142
168,142
167,142
166,142
165,142
164,142
163,142
162,142
161,142
160,142
159,142
158,142
157,142
156,142
155,142
154,142
153,142
152,142
151,142
150,142
149,142
148,142
147,142
146,142
145,142
144,142
143,142
142,142
141,142
140,143
139,144
138,145
137,146
136,147
135,148
134,149
133,150
132,151
131,152
130,153
129,154
128,155
127,156
126,157
125,158
124,159
123,160
122,161
121,162
120,163
119,164
118,165
117,166
116,167
115,168
114,169
113,170
112,171
111,172
110,173
109,174
108,175
107,176
106,177
105,178
104,179
103,180
102,181
101,182
100,183
99,184
98,185
97,186
96,187
95,188
94,189
93,190
92,191
91,192
90,193
89,194
88,195
87,196
86,197
85,198
84,199
83,200
82,201
81,202
80,203
79,204
78,205
77,206
76,207
75,208
74,209
73,210
72,211
71,212
70,214
69,217
68,220
67,223
66,226
65,229
64,232
63,235
62,238
61,241
60,244
59,247
58,250
57,253
56,256
55,259
54,262
53,265
52,268
51,271
50,274
49,277
48,280
47,283
46,289
45,295
44,301
43,307
42,313
41,319
40,325
39,331
38,337
37,343
36,349
35,356
34,366
33,376
32,386
31,396
30,406
29,416
28,427
27,442
26,457
25,472
24,487
23,505
22,526
21,547
20,569
19,597
18,625
17,658
16,694
15,736
14,782
13,837
12,901
11,976
10,1066
9,1177
8,1315
7,1492
6,1729
5,2060
4,2557
3,3385
2,5042
1,10012
