COMMENT,kmp_n_190_min_2_max_380_run_ps
SORT_BY,190
380,190
379,190
378,190
377,190
376,190
375,190
374,190
373,190
372,190
371,190
370,190
369,190
368,190
367,190
366,190
365,190
364,190
363,190
362,190
361,190
360,190
359,190
358,190
357,190
356,190
355,190
354,190
353,190
352,190
351,190
350,190
349,190
348,190
347,190
346,190
345,190
344,190
343,190
342,190
341,190
340,190
339,190
338,190
337,190
336,190
335,190
334,190
333,190
332,190
331,190
330,190
329,190
328,190
327,190
326,190
325,190
324,190
323,190
322,190
321,190
320,190
319,190
318,190
317,190
316,190
315,190
314,190
313,190
312,190
311,190
310,190
309,190
308,190
307,190
306,190
305,190
304,190
303,190
302,190
301,190
300,190
299,190
298,190
297,190
296,190
295,190
294,190
293,190
292,190
291,190
290,190
289,190
288,190
287,190
286,190
285,190
284,190
283,190
282,190
281,190
280,190
279,190
278,190
277,190
276,190
275,190
274,190
273,190
272,190
271,190
270,190
269,190
268,190
267,190
266,190
265,190
264,190
263,190
262,190
261,190
260,190
259,190
258,190
257,190
256,190
255,190
254,190
253,190
252,190
251,190
250,190
249,190
248,190
247,190
246,190
245,190
244,190
243,190
242,190
241,190
240,190
239,190
238,190
237,190
236,190
235,190
234,190
233,190
232,190
231,190
230,190
229,190
228,190
227,190
226,190
225,190
224,190
223,190
222,190
221,190
220,190
219,190
218,190
217,190
216,190
215,190
214,190
213,190
212,190
211,190
210,190
209,190
208,190
207,190
206,190
205,190
204,190
203,190
202,190
201,190
200,190
199,190
198,190
197,190
196,190
195,190
194,190
193,190
192,190
191,190
190,190
189,190
188,191
187,192
186,193
185,194
184,195
183,196
182,197
181,198
180,199
179,200
178,201
177,202
176,203
175,204
174,205
173,206
172,207
171,208
170,209
169,210
168,211
167,212
166,213
165,214
164,215
163,216
162,217
161,218
160,219
159,220
158,221
157,222
156,223
155,224
154,225
153,226
152,227
151,228
150,229
149,230
148,231
147,232
146,233
145,234
144,235
143,236
142,237
141,238
140,239
139,240
138,241
137,242
136,243
135,244
134,245
133,246
132,247
131,248
130,249
129,250
128,251
127,252
126,253
125,254
124,255
123,256
122,257
121,258
120,259
119,260
118,261
117,262
116,263
115,264
114,265
113,266
112,267
111,268
110,269
109,270
108,271
107,272
106,273
105,274
104,275
103,276
102,277
101,278
100,279
99,280
98,281
97,282
96,283
95,284
94,286
93,289
92,292
91,295
90,298
89,301
88,304
87,307
86,310
85,313
84,316
83,319
82,322
81,325
80,328
79,331
78,334
77,337
76,340
75,343
74,346
73,349
72,352
71,355
70,358
69,361
68,364
67,367
66,370
65,373
64,376
63,379
62,385
61,391
60,397
59,403
58,409
57,415
56,421
55,427
54,433
53,439
52,445
51,451
50,457
49,463
48,469
47,476
46,486
45,496
44,506
43,516
42,526
41,536
40,546
39,556
38,566
37,580
36,595
35,610
34,625
33,640
32,655
31,673
30,694
29,715
28,736
27,757
26,785
25,813
24,841
23,874
22,910
21,946
20,991
19,1036
18,1090
17,1147
16,1213
15,1288
14,1373
13,1471
12,1585
11,1720
10,1882
9,2080
8,2329
7,2647
6,3073
5,3668
4,4561
3,6049
2,9026
1,17956
